ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.5198±0.0226,0.5871±0.1797,0.388±0.19,0.1955±0.0814,0.6725±0.0284,0.4303±0.0999,0.501±0.0197,0.4092±0.1335,0.4355±0.0603,0.1633±0.0932,0.6004±0.0563,0.4161±0.1084
