ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.4483±0.0421,0.4065±0.0447,0.4031±0.0434,0.1127±0.0692,0.5598±0.05,0.4048±0.044,0.5176±0.0165,0.4843±0.0167,0.4697±0.0137,0.2201±0.0248,0.6354±0.0193,0.4768±0.0143
