ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.5191±0.01,0.4497±0.0436,0.436±0.0204,0.1962±0.0236,0.6156±0.0209,0.4421±0.03,0.4969±0.0155,0.4427±0.0511,0.444±0.022,0.1877±0.0292,0.6227±0.019,0.4427±0.0372
