ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.7093±0.0128,0.7336±0.0087,0.693±0.0163,0.5018±0.025,0.9085±0.0083,0.5726±0.0201,0.6879±0.0115,0.5799±0.0221,0.5315±0.0294,0.4716±0.0177,0.6877±0.0196,0.5544±0.0231
