ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.6959±0.0158,0.6959±0.0158,0.6959±0.0158,0.3448±0.0328,0.7473±0.0123,0.6683±0.0168,0.6678±0.0289,0.6504±0.0322,0.638±0.0318,0.2877±0.0618,0.638±0.0318,0.6441±0.0309
