ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.7679±0.0197,0.7591±0.0227,0.773±0.0147,0.6428±0.0266,0.9056±0.0089,0.7659±0.0176,0.7667±0.031,0.7596±0.0292,0.7744±0.03,0.6411±0.0465,0.8967±0.0212,0.7669±0.0288
