ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.7786±0.003,0.7881±0.003,0.7686±0.0053,0.5651±0.0051,0.9181±0.0021,0.7127±0.0048,0.7721±0.007,0.7362±0.0185,0.6851±0.0228,0.5553±0.0128,0.7638±0.0171,0.7092±0.0081
