2SVMRBF,0.5442304095754629,0.1361085126286249,0.2498282967032967,-0.012484863136073618,0.4998282967032967,0.1762141213515805,1,0.5446896035901272,0.21953539133146244,0.2500973280066998,0.006229888751955577,0.49989036526799185,0.23382193153952327
2SVMLN,0.5446044510940714,0.13615111277351785,0.25,0.0,0.5,0.1762925293619082,1,0.5446896035901272,0.1361724008975318,0.25,0.0,0.5000624879195037,0.1763103740467256
2RF,0.1791658874135029,0.29471468662301215,0.2501717032967033,0.01114403024333394,0.5000572344322344,0.27062256097054105,20,0.5446896035901272,0.1361724008975318,0.25,0.0,0.5001096347320081,0.1763103740467256
2ET,0.2554703572096503,0.31382182294591054,0.2501717032967033,0.009777158067244572,0.5000572344322344,0.2784051104312939,20,0.5446896035901272,0.1361724008975318,0.25,0.0,0.5001096347320081,0.1763103740467256
2XGB,0.5446044510940714,0.13615111277351785,0.25,0.0,0.5001144688644689,0.1762925293619082,20,0.5446896035901272,0.1361724008975318,0.25,0.0,0.49989036526799185,0.1763103740467256
2LGBM,0.5446044510940714,0.13615111277351785,0.25,0.0,0.5000572344322344,0.1762925293619082,20,0.5446896035901272,0.1361724008975318,0.25,0.0,0.500067282756096,0.1763103740467256
2MLP,0.5446044510940714,0.13615111277351785,0.25,0.0,0.49970575427579195,0.1762925293619082,20,0.5446896035901272,0.21953539133146244,0.2500973280066998,0.006229888751955577,0.4999062755931316,0.23382193153952327
2NB,0.5446044510940714,0.13615111277351785,0.25,0.0,0.5000572344322344,0.1762925293619082,NA,0.5446896035901272,0.1361724008975318,0.25,0.0,0.500067282756096,0.1763103740467256
21NN,0.2554703572096503,0.31382182294591054,0.2501717032967033,0.009777158067244572,0.5001144688644689,0.2784051104312939,NA,0.25523560209424084,0.14713127533520423,0.2500786299215619,0.0016500351345618777,0.5000524199477079,0.18526420045167394
2DT,0.2554703572096503,0.31382182294591054,0.2501717032967033,0.009777158067244572,0.5000572344322344,0.2784051104312939,NA,0.5446896035901272,0.1361724008975318,0.25,0.0,0.5001096347320081,0.1763103740467256
2LR,0.5446044510940714,0.13615111277351785,0.25,0.0,0.5000572344322344,0.1762925293619082,0.001,0.5446896035901272,0.1361724008975318,0.25,0.0,0.49989036526799185,0.1763103740467256
2PLS,0.5446044510940714,0.13615111277351785,0.25,0.0,0.5000572344322344,0.1762925293619082,NA,0.5446896035901272,0.1361724008975318,0.25,0.0,0.49966520236188794,0.1763103740467256
