 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.7336±0.0021,0.6925±0.0074,0.5753±0.0073,0.4504±0.0055,0.8094±0.0024,0.6284±0.0035,0.7385±0.0027,0.7021±0.0052,0.5812±0.0098,0.4612±0.0076,0.8177±0.0025,0.6359±0.0055
SVMLN,0.7309±0.0025,0.6766±0.0047,0.5895±0.0038,0.4513±0.0054,0.806±0.002,0.6301±0.0037,0.7296±0.0022,0.6655±0.0038,0.6067±0.0029,0.4587±0.0041,0.7978±0.0024,0.6347±0.0028
RF,0.7149±0.0026,0.6514±0.0046,0.5582±0.0046,0.4117±0.0062,0.8037±0.0036,0.6012±0.0043,0.7222±0.0031,0.6665±0.0059,0.5673±0.005,0.4275±0.0071,0.8093±0.0033,0.6129±0.0049
ET,0.7102±0.0024,0.6371±0.0051,0.569±0.0031,0.4107±0.0048,0.7968±0.0029,0.6011±0.0036,0.7158±0.0034,0.647±0.0054,0.5759±0.0044,0.4224±0.0072,0.8056±0.0033,0.6094±0.0043
XGB,0.7105±0.0026,0.7116±0.0081,0.5025±0.0043,0.3826±0.0072,0.8066±0.0021,0.5891±0.0051,0.7109±0.0016,0.719±0.0056,0.5012±0.0037,0.3838±0.0044,0.8091±0.0029,0.5906±0.0037
LGBM,0.7411±0.0028,0.7118±0.0052,0.5859±0.0049,0.4667±0.0067,0.8401±0.0023,0.6427±0.0045,0.7419±0.0024,0.7156±0.0048,0.5837±0.0033,0.4679±0.0055,0.8444±0.0022,0.6429±0.0032
MLP,0.7101±0.003,0.6329±0.0049,0.6101±0.0066,0.4373±0.0063,0.8058±0.0037,0.6213±0.0044,0.7203±0.0056,0.6481±0.008,0.6201±0.0051,0.4549±0.0086,0.8158±0.0029,0.6338±0.0057
NB,0.7169±0.0033,0.6455±0.0049,0.6017±0.0057,0.4385±0.0074,0.8138±0.0023,0.6228±0.0052,0.7227±0.0028,0.655±0.0045,0.6077±0.0031,0.4493±0.0051,0.8181±0.0038,0.6304±0.0035
1NN,0.6093±0.0078,0.4883±0.0093,0.4761±0.0067,0.2374±0.0103,0.607±0.005,0.4821±0.0077,0.6164±0.0057,0.4958±0.0057,0.4812±0.0045,0.2478±0.0079,0.6109±0.0034,0.4884±0.0047
DT,0.6317±0.005,0.5329±0.006,0.5296±0.0081,0.3021±0.011,0.6562±0.0052,0.5313±0.007,0.6378±0.0028,0.5392±0.0026,0.5349±0.0041,0.3121±0.0058,0.6601±0.0027,0.5371±0.0032
LR,0.7345±0.0032,0.683±0.0053,0.5946±0.0042,0.4591±0.0067,0.8265±0.0022,0.6357±0.0044,0.7381±0.0021,0.6899±0.0038,0.5968±0.0035,0.4661±0.0047,0.834±0.0035,0.64±0.0032
PLS,0.7042±0.0042,0.6993±0.0061,0.4947±0.0079,0.3653±0.0118,0.8219±0.0018,0.5795±0.007,0.7049±0.0022,0.7073±0.0065,0.4929±0.003,0.367±0.0062,0.8243±0.0032,0.581±0.004
