 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.7304±0.0026,0.688±0.0085,0.5652±0.0068,0.4412±0.0063,0.8048±0.0018,0.6205±0.0045,0.7347±0.0026,0.6975±0.0092,0.572±0.006,0.4515±0.0054,0.8124±0.004,0.6285±0.0033
SVMLN,0.7271±0.003,0.6756±0.0059,0.5733±0.0095,0.4383±0.0074,0.7971±0.0041,0.6202±0.0052,0.7293±0.0022,0.6749±0.0036,0.5802±0.0035,0.4451±0.005,0.7917±0.0025,0.624±0.0032
RF,0.713±0.0032,0.6489±0.0061,0.5535±0.0058,0.4061±0.0077,0.8009±0.0038,0.5974±0.0057,0.7198±0.0035,0.6627±0.007,0.5618±0.005,0.4209±0.0079,0.8064±0.003,0.6081±0.0054
ET,0.7085±0.0032,0.6357±0.0062,0.5639±0.0035,0.4053±0.0063,0.7941±0.0038,0.5976±0.0044,0.7153±0.0037,0.6471±0.0066,0.5717±0.005,0.4194±0.008,0.8031±0.0028,0.607±0.0054
XGB,0.7095±0.0021,0.7088±0.0072,0.5006±0.0032,0.3799±0.0058,0.8045±0.0024,0.5868±0.0041,0.7095±0.0012,0.7141±0.0065,0.4988±0.0019,0.3798±0.0035,0.807±0.0034,0.5874±0.0027
LGBM,0.7381±0.0028,0.705±0.0033,0.5807±0.0053,0.4597±0.007,0.8364±0.0021,0.6369±0.0042,0.7388±0.0023,0.7101±0.0049,0.5786±0.0035,0.4605±0.0053,0.8404±0.0025,0.6376±0.0036
MLP,0.7148±0.005,0.6404±0.0079,0.6046±0.0054,0.4389±0.0083,0.8017±0.0047,0.6219±0.0051,0.7201±0.0036,0.6479±0.0057,0.6127±0.0062,0.45±0.0064,0.8099±0.005,0.6298±0.004
NB,0.7134±0.003,0.654±0.0051,0.5564±0.0053,0.4072±0.0073,0.8028±0.0025,0.6013±0.0051,0.7182±0.002,0.6649±0.0047,0.5609±0.0032,0.4171±0.0048,0.8053±0.0033,0.6085±0.0032
1NN,0.6061±0.0053,0.4827±0.0052,0.4707±0.0037,0.2302±0.007,0.603±0.0028,0.4766±0.0043,0.6131±0.0062,0.4906±0.0074,0.476±0.0057,0.2403±0.0103,0.607±0.0043,0.4832±0.0064
DT,0.6292±0.0032,0.5289±0.0043,0.5268±0.0052,0.2987±0.0065,0.6537±0.0029,0.5278±0.0047,0.6369±0.0024,0.538±0.0024,0.5349±0.0025,0.3123±0.0025,0.6598±0.0019,0.5365±0.002
LR,0.7282±0.0033,0.6768±0.0052,0.5761±0.008,0.4411±0.0084,0.8213±0.0024,0.6224±0.0053,0.7298±0.002,0.6821±0.0051,0.5751±0.0039,0.4435±0.0044,0.8269±0.0036,0.624±0.0032
PLS,0.7133±0.0033,0.6964±0.0036,0.5157±0.0063,0.3912±0.0089,0.8185±0.0016,0.5926±0.005,0.7142±0.0018,0.7035±0.0052,0.5141±0.0026,0.3931±0.0047,0.8207±0.003,0.594±0.0029
