ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.6791±0.0194,0.8732±0.1075,0.6682±0.0227,0.4926±0.0378,0.8208±0.0175,0.6571±0.0301,0.6567±0.0279,0.6489±0.0336,0.6315±0.0347,0.457±0.0447,0.7236±0.026,0.6399±0.0322
