ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.6868±0.0269,0.6903±0.0257,0.6868±0.0269,0.377±0.0525,0.7327±0.0295,0.6885±0.0263,0.6425±0.0145,0.645±0.0153,0.6425±0.0145,0.2874±0.0296,0.6961±0.0239,0.6437±0.0148
