ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.7112±0.039,0.7112±0.039,0.7112±0.039,0.3783±0.1164,0.7708±0.0546,0.6852±0.0614,0.6912±0.0523,0.6784±0.0622,0.6549±0.082,0.3904±0.188,0.7401±0.0688,0.6796±0.0624
