ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.6558±0.0054,0.595±0.0222,0.4572±0.0195,0.3882±0.0124,0.814±0.0071,0.5164±0.0075,0.6571±0.0054,0.595±0.0222,0.4572±0.0195,0.3867±0.0111,0.814±0.0071,0.4922±0.0218
