ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.5453±0.0373,0.3652±0.0656,0.3363±0.0522,0.1832±0.077,0.6343±0.0638,0.35±0.0582,0.6703±0.0045,0.5945±0.0221,0.4639±0.0086,0.4223±0.0093,0.8208±0.0091,0.521±0.0113
