ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.6778±0.0024,0.7008±0.004,0.6428±0.0028,0.4381±0.005,0.8895±0.0017,0.5173±0.0124,0.6747±0.0047,0.5969±0.0496,0.4672±0.0226,0.431±0.0127,0.8306±0.0073,0.5231±0.0231
