round_epochs,loss,accuracy,precision,recall,matthews,f1score,val_loss,val_accuracy,val_precision,val_recall,val_matthews,val_f1score,dropout,num_neurons,batch_size,epochs,lr
6,1.0548419952392578,0.5305602550506592,0.6456884145736694,0.16402027010917664,0.19188104569911957,0.25433745980262756,1.1529827117919922,0.4554707407951355,0.4460952877998352,0.10694444924592972,0.06462442129850388,0.16795307397842407,0.4,16,16,32,0.01
5,0.7717359662055969,0.6723259687423706,0.7745224833488464,0.49831080436706543,0.48824867606163025,0.6021067500114441,1.0881993770599365,0.4885496199131012,0.531474769115448,0.35083332657814026,0.22345462441444397,0.4204580783843994,0.4,16,16,32,0.001
4,1.0361016988754272,0.49575552344322205,0.5413574576377869,0.21452702581882477,0.17002668976783752,0.3000347316265106,1.056875467300415,0.4783715009689331,0.2800000011920929,0.04444444552063942,0.01267472468316555,0.07412850856781006,0.4,16,16,32,0.0001
10,1.040274977684021,0.5314091444015503,0.7993242740631104,0.12601351737976074,0.22277602553367615,0.20949135720729828,1.3279080390930176,0.48600509762763977,0.45219048857688904,0.07694444805383682,0.06895384192466736,0.12708419561386108,0.4,16,16,64,0.01
10,0.49506381154060364,0.8039049506187439,0.8516892194747925,0.7179054021835327,0.686576247215271,0.7771580219268799,1.2214571237564087,0.48346054553985596,0.5064376592636108,0.3916666805744171,0.21814864873886108,0.4394284784793854,0.4,16,16,64,0.001
8,1.0021965503692627,0.5059422850608826,0.6058207750320435,0.22331079840660095,0.2133094221353531,0.31924930214881897,1.0541932582855225,0.46310433745384216,0.4885454475879669,0.26777780055999756,0.1523551344871521,0.3429493308067322,0.4,16,16,64,0.0001
4,0.9665148258209229,0.5237690806388855,0.7618531584739685,0.1802234947681427,0.26230666041374207,0.28817281126976013,1.1647939682006836,0.4758269786834717,0.4516178369522095,0.10470085591077805,0.07295308262109756,0.16923633217811584,0.4,16,32,32,0.01
10,0.578718364238739,0.7699490785598755,0.824614405632019,0.6770399808883667,0.6391229033470154,0.7426072955131531,1.1140317916870117,0.47073790431022644,0.5180308818817139,0.34642094373703003,0.20925596356391907,0.41373211145401,0.4,16,32,32,0.001
5,1.047581672668457,0.4855687618255615,0.5171870589256287,0.16645009815692902,0.13046233355998993,0.24751895666122437,1.0699869394302368,0.48091602325439453,0.38189584016799927,0.16105769574642181,0.04243515431880951,0.2249164581298828,0.4,16,32,32,0.0001
9,0.926410973072052,0.5441426038742065,0.7872602939605713,0.20835499465465546,0.2957819700241089,0.3232046365737915,1.3254814147949219,0.46055978536605835,0.4405219852924347,0.1215277835726738,0.07907641679048538,0.1878136247396469,0.4,16,32,64,0.01
