round_epochs,loss,accuracy,precision,recall,matthews,f1score,val_loss,val_accuracy,val_precision,val_recall,val_matthews,val_f1score,dropout,num_neurons,batch_size,epochs
4,0.23556844890117645,0.9168081283569336,0.923431396484375,0.9045608043670654,0.8719494938850403,0.9136170148849487,1.4986926317214966,0.5623409748077393,0.5715805888175964,0.5413888692855835,0.3454076647758484,0.5553419589996338,0.1,16,16,32
9,0.18800833821296692,0.9329372048377991,0.936985194683075,0.9277027249336243,0.8988901972770691,0.9321673512458801,1.9565269947052002,0.5597964525222778,0.5556666851043701,0.5383332967758179,0.32625702023506165,0.5465912818908691,0.1,16,16,64
11,0.1812349408864975,0.9312393665313721,0.9416948556900024,0.9225572347640991,0.8987547159194946,0.931921660900116,1.8169785737991333,0.554707407951355,0.5397588014602661,0.5112179517745972,0.2965751886367798,0.5248996019363403,0.1,16,32,32
11,0.1631520688533783,0.9371816515922546,0.9436554908752441,0.9324324131011963,0.907326340675354,0.9379415512084961,1.9397152662277222,0.5368956923484802,0.533977746963501,0.4954594075679779,0.28310778737068176,0.5134285092353821,0.1,16,32,64
6,0.245163694024086,0.9134125709533691,0.9252128601074219,0.8989119529724121,0.8689531087875366,0.9117738604545593,1.3741530179977417,0.5267175436019897,0.5361552834510803,0.462797611951828,0.27436137199401855,0.49549180269241333,0.1,16,64,32
10,0.19314706325531006,0.930390477180481,0.9332709908485413,0.9190915822982788,0.8896795511245728,0.9260894656181335,1.5821723937988281,0.5572519302368164,0.5641413927078247,0.5210813283920288,0.32650765776634216,0.5416586995124817,0.1,16,64,64
5,0.1081073135137558,0.9685908555984497,0.972691535949707,0.9611486196517944,0.9505547285079956,0.966704785823822,2.228609561920166,0.5597964525222778,0.5498424768447876,0.5308333039283752,0.31659048795700073,0.5398097038269043,0.1,32,16,32
8,0.0737234503030777,0.9770798087120056,0.9779279828071594,0.9738175868988037,0.9638731479644775,0.975806474685669,2.7823281288146973,0.5445292592048645,0.5396904945373535,0.5233333110809326,0.30154067277908325,0.5310698747634888,0.1,32,16,64
7,0.07091730833053589,0.9762309193611145,0.9769594073295593,0.9751169085502625,0.9640786647796631,0.9760217666625977,2.03074312210083,0.5597964525222778,0.5671828985214233,0.5486111044883728,0.3416687548160553,0.5575798749923706,0.1,32,32,32
8,0.07605412602424622,0.971137523651123,0.9718503952026367,0.9662162065505981,0.9536733627319336,0.9689761996269226,2.2623043060302734,0.5623409748077393,0.5511526465415955,0.5400640964508057,0.3215065598487854,0.5454205870628357,0.1,32,32,64
