round_epochs,loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score,dropout,num_neurons,batch_size,epochs
6,0.9003584980964661,0.5679611563682556,0.500857412815094,1.1130789518356323,0.4548022747039795,0.31589800119400024,0.1,16,16,30
6,0.9603414535522461,0.5473300814628601,0.4608969986438751,1.088344931602478,0.47457626461982727,0.3103482127189636,0.1,16,32,30
9,0.8806785941123962,0.5983009934425354,0.5341423153877258,1.0789655447006226,0.4661017060279846,0.34793058037757874,0.1,16,64,30
8,0.6973201632499695,0.7050970792770386,0.6748021245002747,1.1991785764694214,0.44632768630981445,0.3744705617427826,0.1,32,16,30
11,0.6081445813179016,0.7742718458175659,0.7561065554618835,1.1995162963867188,0.4717514216899872,0.41438689827919006,0.1,32,32,30
4,0.9764920473098755,0.5194174647331238,0.4204477369785309,1.070839524269104,0.46045199036598206,0.2362145185470581,0.1,32,64,30
8,0.518627941608429,0.8046116232872009,0.7895291447639465,1.2972843647003174,0.5028248429298401,0.4291383922100067,0.1,64,16,30
5,0.7754107117652893,0.6650485396385193,0.6240467429161072,1.1359789371490479,0.47740113735198975,0.4087345600128174,0.1,64,32,30
10,0.5707542896270752,0.8021844625473022,0.7836267352104187,1.148303747177124,0.505649745464325,0.4212716519832611,0.1,64,64,30
5,0.4544995129108429,0.8240291476249695,0.8105700612068176,1.6104443073272705,0.4661017060279846,0.4349306523799896,0.1,256,16,30
8,0.27894794940948486,0.9138349294662476,0.906458854675293,1.6437493562698364,0.5,0.4255128800868988,0.1,256,32,30
10,0.23375160992145538,0.9271844625473022,0.9205634593963623,1.5242254734039307,0.47457626461982727,0.42693600058555603,0.1,256,64,30
9,0.22800730168819427,0.9235436916351318,0.9169208407402039,3.524049997329712,0.4406779706478119,0.42201027274131775,0.1,512,16,30
9,0.08085956424474716,0.9854369163513184,0.9846219420433044,2.3446197509765625,0.4971751272678375,0.42820391058921814,0.1,512,32,30
8,0.13011379539966583,0.9720873832702637,0.9689329266548157,1.731572151184082,0.4830508530139923,0.42770692706108093,0.1,512,64,30
11,0.41724348068237305,0.8349514603614807,0.8181686997413635,1.3455053567886353,0.5169491767883301,0.4383139908313751,0.2,16,16,30
9,0.4746333062648773,0.8082524538040161,0.7910933494567871,1.1541417837142944,0.5,0.419047087430954,0.2,16,32,30
13,0.4606180191040039,0.8276699185371399,0.8008812069892883,1.1722501516342163,0.5225988626480103,0.418954461812973,0.2,16,64,30
9,0.2745996117591858,0.9004854559898376,0.890960693359375,1.5615010261535645,0.5169491767883301,0.44451069831848145,0.2,32,16,30
7,0.40608468651771545,0.856796145439148,0.842674970626831,1.1996474266052246,0.4971751272678375,0.4281397759914398,0.2,32,32,30
