ACC, PRE, REC, MCC, AUC, F1 
0,0.6558818028801197,0.6043574890201423,0.44322501035776085,0.38614221796160514,0.810756619915868,0.5113990630615016
1,0.6541986160463812,0.5794061793010385,0.47623948054929105,0.3880814753111033,0.814986280409718,0.5227816650077421
2,0.6472788479521226,0.5549249488168768,0.48981611286342563,0.38929127892839244,0.8086220737112484,0.5203417216573307
3,0.6555077613615111,0.5849277823322846,0.46282665387106336,0.3884855582006027,0.8183706376412972,0.5167626285297477
4,0.6476528894707313,0.5875914221272838,0.46040072961750733,0.3720522957937704,0.8132627205034381,0.5162777584049494
5,0.6609313633813353,0.5799239442540586,0.47990604648187674,0.40348616844337376,0.8154452001981167,0.525195568685288
6,0.6633626332522911,0.5858926954551839,0.45137188898424874,0.40363587282735797,0.8173257052999124,0.5099094226428231
7,0.6549466990835983,0.5515069398310346,0.44172139552821904,0.38699206379755285,0.8132934340479571,0.49054664759951055
8,0.656816906676641,0.579205260639648,0.44922990542389063,0.39063328613962334,0.8141567979866888,0.5060043317151479
9,0.6472788479521226,0.5918686424075068,0.4537928704854799,0.37122952321515645,0.8075392696618747,0.5137145565305581
