ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.8153±0.0334,0.7862±0.0287,0.7594±0.0699,0.6439±0.0772,0.9064±0.0309,0.7719±0.0499,0.8149±0.0344,0.787±0.0302,0.7565±0.0711,0.6423±0.0791,0.9047±0.0317,0.7707±0.051
