ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.7746±0.0297,0.7611±0.0317,0.8021±0.0438,0.5511±0.0601,0.8502±0.0229,0.7805±0.0296,0.7732±0.0275,0.7505±0.0306,0.82±0.0301,0.5493±0.0547,0.853±0.0149,0.7834±0.0254
