ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.6799±0.0672,0.6054±0.0736,0.4891±0.1337,0.4291±0.1613,0.7676±0.1239,0.5371±0.1114,0.6823±0.0662,0.6229±0.0707,0.4891±0.1299,0.4342±0.1561,0.7674±0.1223,0.542±0.1044
