3SVMRBF,0.5267175572519084,0.522723973360916,0.43217014424229966,0.20300728876706794,0.6244692842703944,0.47315339114941535,16,0.5063613231552163,0.46666371687942004,0.4515503160519958,0.1933883955924702,0.6520255049790324,0.4589826364865427
3SVMLN,0.5063613231552163,0.4691115003995328,0.3993199026964059,0.15349096039012627,0.5987663171960119,0.4314112963338151,16,0.5674300254452926,0.5204063248727164,0.48917267254333324,0.28556453619214306,0.6937796790120417,0.5043063562098501
3RF,0.5241730279898219,0.5590605472958413,0.4009524788433207,0.1932707925291116,0.6524327183335047,0.46698681405032877,100,0.5623409669211196,0.5361538461538462,0.4915387896910853,0.2766549356337163,0.684470612907063,0.512877884757846
3ET,0.5343511450381679,0.5213786307142069,0.42670195635042996,0.21288495649375744,0.6229710144927536,0.4693130199276889,50,0.5623409669211196,0.5268398268398268,0.4935135164698434,0.280472379297334,0.6764364282911316,0.5096324273642868
3XGB,0.5318066157760815,0.5647806595236106,0.41640970294994345,0.2129559544295409,0.6768395175934492,0.47937720478871626,20,0.5572519083969466,0.517590184326586,0.4937473252142904,0.2765040808292578,0.6803008099900597,0.5053877002632703
3LGBM,0.5267175572519084,0.5532954545454546,0.4004745263302156,0.20164615838259667,0.6748586699558022,0.4646418728262254,50,0.5725190839694656,0.5428202916420308,0.5246056357478529,0.30849924467776074,0.6947105557127954,0.5335575553987641
3MLP,0.5318066157760815,0.5302881710204365,0.4254137115839243,0.20766214133713756,0.6136421180662622,0.47209671373273765,200,0.5114503816793893,0.48146503062943014,0.46832609346607107,0.21146383123139478,0.6495926463731615,0.47480468329272585
3NB,0.5216284987277354,0.46917432521940716,0.428130674615411,0.19249511806766334,0.6480960701682257,0.447713810589247,NA,0.5572519083969466,0.5335731890496742,0.45356161817527996,0.2583852846454011,0.6671412061249686,0.490324760648754
31NN,0.4351145038167939,0.3833166602539439,0.3886079418919382,0.08358708846882336,0.5414559564189536,0.3859441661014071,NA,0.4402035623409669,0.40398455823971235,0.39385698288273874,0.09702831078888949,0.545392737162054,0.39885649226953185
3DT,0.4351145038167939,0.4289611996424649,0.4365368143351492,0.14640342343240287,0.577402610751362,0.4327158527024625,NA,0.4580152671755725,0.4336049695420257,0.4339633863710011,0.15633408282142258,0.5754725397782509,0.4337841039204894
3LR,0.5114503816793893,0.4814074429459045,0.3924075787165518,0.1560164422691801,0.6130404803508411,0.4323751008608815,10,0.6030534351145038,0.57941687692739,0.5257469915924563,0.34743793637698756,0.6945576741909328,0.5512787534946476
3PLS,0.5165394402035624,0.4789381153305204,0.4101089526158906,0.17348247307630607,0.6700840271353684,0.4418591904244776,NA,0.5801526717557252,0.5646936636583942,0.4941732399739119,0.30417922773673844,0.7005599616881811,0.5270851254402982
