ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.6645±0.0058,0.6125±0.0296,0.4446±0.0167,0.4041±0.0119,0.808±0.0043,0.5149±0.0154,0.6712±0.0062,0.6125±0.0296,0.4446±0.0167,0.4177±0.013,0.808±0.0043,0.5189±0.0205
