ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.6778±0.0296,0.6778±0.0296,0.6778±0.0296,0.2959±0.0764,0.7417±0.0396,0.6387±0.0441,0.6666±0.0302,0.6442±0.0375,0.6239±0.0397,0.2671±0.0774,0.7145±0.0494,0.6339±0.0385
