ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.6664±0.0254,0.6709±0.0282,0.6664±0.0254,0.3373±0.0533,0.6959±0.0259,0.6686±0.0267,0.6139±0.0211,0.616±0.0214,0.6139±0.0211,0.2299±0.0425,0.6515±0.0236,0.615±0.0212
