ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.6614±0.0253,0.6646±0.0273,0.6614±0.0253,0.3259±0.0524,0.6958±0.0239,0.663±0.0262,0.6151±0.0214,0.6155±0.0214,0.6151±0.0214,0.2306±0.0429,0.6509±0.0167,0.6153±0.0214
