ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
0.7276±0.0041,0.667±0.0104,0.5938±0.0098,0.4493±0.0069,0.8212±0.0052,0.6281±0.0036,0.6988±0.0058,0.6199±0.0083,0.5928±0.0063,0.4117±0.0077,0.7803±0.0064,0.606±0.005
