 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.7443±0.0027,0.7035±0.0056,0.5984±0.0046,0.4775±0.0062,0.8217±0.0017,0.6467±0.0044,0.7494±0.0017,0.7139±0.0031,0.6035±0.003,0.4882±0.0041,0.8285±0.0018,0.6541±0.0025
SVMLN,0.7355±0.0027,0.6846±0.006,0.5875±0.0062,0.4589±0.0061,0.8055±0.0033,0.6323±0.0036,0.7348±0.0025,0.6757±0.0038,0.5972±0.004,0.4623±0.0056,0.7972±0.0016,0.634±0.0037
RF,0.7158±0.0034,0.6774±0.0083,0.5302±0.005,0.401±0.0083,0.8058±0.0038,0.5948±0.0059,0.7194±0.003,0.6787±0.0071,0.5415±0.0033,0.412±0.0067,0.8102±0.0041,0.6024±0.0042
ET,0.7237±0.0028,0.6884±0.0075,0.5469±0.0037,0.422±0.0065,0.8115±0.0047,0.6096±0.0049,0.7265±0.002,0.6937±0.0047,0.5513±0.0045,0.4288±0.0052,0.8183±0.0021,0.6143±0.0036
XGB,0.7087±0.0026,0.7038±0.0075,0.4994±0.0042,0.3777±0.007,0.8036±0.0027,0.5843±0.005,0.7117±0.0021,0.7152±0.0073,0.5018±0.0038,0.3859±0.0058,0.8068±0.0033,0.5897±0.0045
LGBM,0.7386±0.0021,0.6986±0.003,0.5856±0.0037,0.4627±0.0052,0.8342±0.0025,0.6371±0.0032,0.7404±0.002,0.7061±0.0048,0.585±0.0036,0.4658±0.0046,0.8397±0.0029,0.6398±0.0036
MLP,0.7226±0.0104,0.6538±0.0203,0.6142±0.0089,0.4546±0.0138,0.8198±0.0058,0.6332±0.0083,0.7297±0.0083,0.6666±0.0196,0.6169±0.0061,0.4645±0.0109,0.8265±0.0047,0.6406±0.0071
NB,0.722±0.0056,0.6884±0.0068,0.5462±0.017,0.4183±0.0169,0.8137±0.0047,0.6089±0.0097,0.7251±0.0053,0.6939±0.0064,0.5505±0.0182,0.4259±0.0165,0.8153±0.0063,0.6138±0.0098
1NN,0.6467±0.0228,0.5379±0.0461,0.4782±0.0158,0.2656±0.0433,0.6254±0.0641,0.506±0.0284,0.6516±0.0243,0.5467±0.0481,0.489±0.0183,0.2806±0.0471,0.6328±0.064,0.516±0.0308
DT,0.6436±0.027,0.544±0.0476,0.5201±0.0082,0.307±0.0377,0.658±0.0525,0.5312±0.0253,0.6498±0.0267,0.5526±0.0498,0.5262±0.0097,0.3171±0.039,0.6622±0.0539,0.5385±0.0271
LR,0.7322±0.0083,0.6833±0.0091,0.5826±0.029,0.4512±0.0256,0.8286±0.0081,0.6284±0.0151,0.7345±0.0089,0.6874±0.0082,0.5837±0.0295,0.4556±0.0268,0.8334±0.0083,0.6308±0.0157
PLS,0.7277±0.005,0.6824±0.0077,0.5614±0.0104,0.435±0.0126,0.8217±0.0056,0.616±0.0093,0.729±0.005,0.6877±0.0085,0.5602±0.0103,0.4371±0.0124,0.824±0.0071,0.6174±0.0095
