 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.7416±0.0022,0.6984±0.0059,0.5981±0.0056,0.4725±0.0048,0.8207±0.002,0.6444±0.0037,0.7474±0.0023,0.7087±0.0061,0.6045±0.0039,0.4849±0.0047,0.8276±0.002,0.6524±0.0035
SVMLN,0.7387±0.002,0.6871±0.0049,0.6018±0.0038,0.4695±0.0043,0.8147±0.0015,0.6417±0.0038,0.7299±0.0026,0.6621±0.0044,0.6157±0.0024,0.4647±0.0045,0.7983±0.0023,0.6381±0.003
RF,0.7165±0.0022,0.6776±0.0054,0.5327±0.0041,0.4033±0.0057,0.8087±0.0018,0.5965±0.0041,0.7211±0.0018,0.6833±0.0056,0.5441±0.0018,0.416±0.0037,0.8132±0.0034,0.6058±0.0024
ET,0.7237±0.0022,0.6861±0.0048,0.5505±0.0039,0.4231±0.0054,0.8143±0.0029,0.6109±0.0038,0.7264±0.0026,0.691±0.0062,0.5543±0.0036,0.4295±0.0062,0.8214±0.0036,0.6151±0.0038
XGB,0.7107±0.003,0.706±0.0068,0.5029±0.0048,0.383±0.0083,0.8053±0.0024,0.5874±0.0052,0.7135±0.0015,0.7179±0.0057,0.5048±0.0031,0.3908±0.0042,0.8091±0.0031,0.5928±0.0034
LGBM,0.7408±0.0019,0.7037±0.0041,0.5898±0.0028,0.468±0.0042,0.838±0.002,0.6417±0.0027,0.7426±0.0021,0.7095±0.0042,0.5883±0.004,0.4708±0.0051,0.8433±0.0026,0.6433±0.0034
MLP,0.7199±0.0037,0.6478±0.006,0.619±0.0059,0.4533±0.0075,0.82±0.004,0.633±0.0055,0.7273±0.004,0.6596±0.0067,0.6242±0.0043,0.465±0.006,0.8286±0.0026,0.6414±0.0039
NB,0.725±0.0025,0.6687±0.0043,0.5822±0.0047,0.4383±0.006,0.8212±0.0016,0.6225±0.0042,0.7285±0.0025,0.6744±0.0042,0.5879±0.0042,0.4465±0.0058,0.8247±0.0027,0.6282±0.0039
1NN,0.6305±0.0046,0.5103±0.0064,0.4672±0.0045,0.237±0.009,0.6004±0.0034,0.4878±0.0051,0.6341±0.0051,0.5178±0.0094,0.4749±0.006,0.2477±0.0098,0.6062±0.0045,0.4954±0.0075
DT,0.6346±0.0028,0.529±0.0037,0.5177±0.0053,0.2941±0.0072,0.6416±0.0043,0.5233±0.0044,0.6402±0.0037,0.5357±0.0047,0.5228±0.0038,0.3034±0.0066,0.6448±0.0032,0.5292±0.0041
LR,0.7395±0.0025,0.6871±0.0035,0.6048±0.0038,0.4721±0.0056,0.8377±0.0015,0.6433±0.0033,0.7439±0.002,0.6944±0.0043,0.6093±0.0038,0.4811±0.0046,0.8444±0.0026,0.6491±0.0034
PLS,0.7237±0.0035,0.6925±0.0055,0.5452±0.0074,0.4213±0.0093,0.8244±0.0017,0.6101±0.0056,0.7254±0.002,0.7012±0.0042,0.5441±0.0032,0.4247±0.0049,0.827±0.0028,0.6128±0.0029
